Name,Category,Energie,Joules,Vetten,Waarvan verzadigd,Koolhydraten,Waarvan suikers,Vezels,Eiwitten,Zout,Vitamine C,Kalium,-waarvan verzadigde vetzuren,-waarvan suikers,Voedingsvezel,Energie kJ,kcal,- waarvan verzadigde vetzuren,- waarvan suikers,Energie  kJ,Voedingsvezels,energie,vezel
Jumbo Biologisch Aardappelen Vastkokend 2kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Tafelaardappelen Kruimig Voordeel Verpakking 5kg,"aardappelen,-groente-en-fruit/aardappelen",341.0,,0.2,0.0,16.8,0.0,1.8,2.0,0.1,,,,,,,,,,,,,
Aviko SuperCrunch Oven Pommes Frites 750g,"aardappelen,-groente-en-fruit/aardappelen",645.0,,3.5,,26.5,,,2.5,0.15,,,,,2.5,,,0.4,1.0,,,,
Lamb Weston Twister Fries Seasoned 600g,"aardappelen,-groente-en-fruit/aardappelen",761.0,,9.3,1.1,22.0,1.0,2.2,2.5,0.5,,,,,,,,,,,,,
Aviko Friet van 't Huis Oma's Smulfriet 750g,"aardappelen,-groente-en-fruit/aardappelen",548.0,,3.0,,22.0,,,2.5,0.1,,,,,2.5,,,1.5,0.5,,,,
Aviko SuperCrunch Airfryer Dikke Friet 750g,"aardappelen,-groente-en-fruit/aardappelen",585.0,,3.5,,23.0,,,2.5,0.33,,,0.4,1.0,2.5,,,,,,,,
Aviko Friet Van 't Huis Opa's Oven Friet 750g,"aardappelen,-groente-en-fruit/aardappelen",549.0,,3.5,,21.0,,,2.5,0.1,,,,,2.5,,,1.8,0.5,,,,
Aviko SuperCrunch Originals Kreukel Friet 750g,"aardappelen,-groente-en-fruit/aardappelen",675.0,,5.0,,25.0,,,2.5,0.15,,,,,2.5,,,0.6,1.0,,,,
Jumbo Oven Hasselback Aardappelen 450g,"aardappelen,-groente-en-fruit/aardappelen",457.0,109.0,3.5,0.5,16.4,0.4,2.2,1.8,0.65,,,,,,,,,,,,,
Aviko Zoete Aardappel Blokjes 450g,"aardappelen,-groente-en-fruit/aardappelen",672.0,,6.7,,21.0,,4.0,2.0,0.29,,,,,,,,1.7,9.7,,,,
Jumbo Oven Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",619.0,147.0,5.4,0.6,21.5,0.4,1.8,2.3,0.28,,,,,,,,,,,,,
Jumbo Aardappelgratin Torentjes met Kaas en Spek 2 Stuks,"aardappelen,-groente-en-fruit/aardappelen",622.0,149.0,8.0,3.7,13.6,1.0,1.6,4.8,0.82,,,,,,,,,,,,,
Lamb Weston Grill Fries Salt & Pepper 500g,"aardappelen,-groente-en-fruit/aardappelen",722.0,,8.3,1.0,19.7,0.9,4.9,2.5,0.92,,,,,,,,,,,,,
Aviko SuperCrunch Originals Hollandse Friet 750g,"aardappelen,-groente-en-fruit/aardappelen",660.0,,4.5,,25.0,,,2.5,0.15,,,,,2.5,,,0.5,0.9,,,,
Jumbo Aardappelschijfjes met Spek en Ui 425g,"aardappelen,-groente-en-fruit/aardappelen",421.0,100.0,2.5,1.0,15.2,0.7,2.0,3.2,0.87,,,,,,,,,,,,,
Jumbo Aardappelen Krieltjes 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,1.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Jumbo Biologisch Aardappelen Kruimig 1kg,"aardappelen,-groente-en-fruit/aardappelen",371.0,88.0,0.0,0.0,19.0,0.0,1.8,2.0,0.01,14.0,450.0,,,,,,,,,,,
Aviko Pommes Frites 1kg,"aardappelen,-groente-en-fruit/aardappelen",540.0,,3.5,,20.5,,,2.5,0.1,,,,,2.5,,,1.8,0.4,,,,
Jumbo Verse Zoete Aardappelfriet 400g,"aardappelen,-groente-en-fruit/aardappelen",413.0,98.0,0.3,0.1,21.3,5.7,2.4,1.2,0.1,,,,,,,,,,,,,
Jumbo Ovenschotel Zoete Aardappel met Rozemarijn & Knoflook 400g,"aardappelen,-groente-en-fruit/aardappelen",544.0,129.0,4.2,0.5,20.5,5.4,2.4,1.2,0.34,,,,,,,,,,,,,
Aviko Friet van 't Huis Vlaamse Friet 750g,"aardappelen,-groente-en-fruit/aardappelen",609.0,,3.5,,25.0,,,2.5,0.1,,,,,2.5,,,1.8,0.5,,,,
Jumbo Aardappelgratin met Kaas 625g - Voordeelverpakking,"aardappelen,-groente-en-fruit/aardappelen",618.0,149.0,10.4,2.2,10.4,1.6,1.5,2.7,1.13,,,,,,,,,,,,,
